80
0, 2, 0, 0
0, 2, 3, 0
0, 1, 3, -10
0, 0, 3, -20
0, 0, 2, -20
1, 0, 2, -30
1, 0, 1, -30
1, 1, 1, -40
1, 2, 1, -50
1, 3, 1, -60
1, 3, 0, -60
0, 3, 0, -70
0, 3, 1, -70
0, 4, 1, 920
0, 4, 2, 920
1, 4, 2, 910
1, 4, 1, 910
1, 5, 1, 900
1, 5, 0, 900
0, 5, 0, 890
0, 5, 3, 890
0, 4, 3, 880
0, 4, 2, 880
1, 4, 2, 870
2, 4, 2, 860
2, 4, 3, 860
2, 3, 3, 850
2, 2, 3, 840
2, 1, 3, 830
2, 0, 3, 820
2, 0, 2, 820
3, 0, 2, 810
3, 0, 0, 810
2, 0, 0, 800
2, 0, 1, 800
2, 1, 1, 790
2, 2, 1, 780
2, 2, 2, 780
3, 2, 2, 770
3, 2, 1, 770
3, 3, 1, 760
3, 4, 1, 750
3, 5, 1, 740
3, 5, 3, 740
3, 4, 3, 730
3, 4, 2, 730
4, 4, 2, 720
4, 4, 3, 720
4, 3, 3, 710
4, 2, 3, 700
4, 2, 1, 700
4, 3, 1, 690
4, 3, 2, 690
5, 3, 2, 680
5, 3, 1, 680
5, 4, 1, 670
5, 5, 1, 660
5, 5, 0, 660
4, 5, 0, 650
4, 5, 3, 650
4, 4, 3, 640
4, 3, 3, 630
4, 2, 3, 620
4, 2, 2, 620
4, 2, 2, 520
4, 2, 3, 520
4, 1, 3, 510
4, 1, 1, 510
4, 2, 1, 500
4, 2, 2, 500
5, 2, 2, 490
5, 2, 3, 490
5, 1, 3, 480
5, 0, 3, 470
5, 0, 0, 470
4, 0, 0, 460
3, 0, 0, 450
2, 0, 0, 440
1, 0, 0, 430
0, 0, 0, 420
