40
0, 1, 2, 0
0, 1, 3, 0
0, 0, 3, 990
0, 0, 1, 990
0, 1, 1, 980
0, 2, 1, 970
0, 2, 3, 970
0, 1, 3, 960
0, 1, 0, 960
1, 1, 0, 950
1, 1, 3, 950
1, 1, 3, 850
1, 0, 3, 840
1, 0, 0, 840
2, 0, 0, 830
2, 0, 1, 830
2, 1, 1, 820
2, 1, 2, 820
1, 1, 2, 810
1, 1, 1, 810
1, 2, 1, 800
1, 2, 2, 800
0, 2, 2, 790
0, 2, 1, 790
0, 2, 1, 690
0, 3, 1, 680
0, 3, 3, 680
0, 2, 3, 670
0, 1, 3, 660
0, 0, 3, 650
0, 0, 0, 650
1, 0, 0, 640
2, 0, 0, 630
2, 0, 0, 630
2, 0, 0, 530
3, 0, 0, 520
3, 0, 2, 520
2, 0, 2, 510
1, 0, 2, 500
0, 0, 2, 490
