98
2, 3, 2, 0
1, 3, 2, -10
0, 3, 2, -20
0, 3, 3, -20
0, 2, 3, -30
0, 2, 0, -30
1, 2, 0, -40
2, 2, 0, -50
3, 2, 0, -60
3, 2, 1, -60
3, 3, 1, -70
3, 3, 0, -70
4, 3, 0, -80
5, 3, 0, -90
5, 3, 2, -90
4, 3, 2, -100
4, 3, 3, -100
4, 2, 3, -110
4, 2, 1, -110
4, 3, 1, -120
4, 4, 1, -130
4, 4, 2, -130
3, 4, 2, -140
2, 4, 2, -150
1, 4, 2, -160
0, 4, 2, 830
0, 4, 1, 830
0, 5, 1, 820
0, 5, 0, 820
1, 5, 0, 810
1, 5, 3, 810
1, 4, 3, 800
1, 4, 0, 800
2, 4, 0, 790
3, 4, 0, 780
3, 4, 1, 780
3, 5, 1, 770
3, 5, 0, 770
4, 5, 0, 760
5, 5, 0, 750
5, 5, 3, 750
5, 4, 3, 740
5, 4, 2, 740
4, 4, 2, 730
3, 4, 2, 720
2, 4, 2, 710
2, 4, 3, 710
2, 3, 3, 700
2, 2, 3, 690
2, 1, 3, 680
2, 1, 2, 680
1, 1, 2, 670
0, 1, 2, 660
0, 1, 3, 660
0, 0, 3, 650
0, 0, 0, 650
1, 0, 0, 640
2, 0, 0, 630
3, 0, 0, 620
3, 0, 2, 620
2, 0, 2, 610
2, 0, 1, 610
2, 1, 1, 600
2, 2, 1, 590
2, 2, 0, 590
3, 2, 0, 580
4, 2, 0, 570
4, 2, 0, 470
5, 2, 0, 460
5, 2, 3, 460
5, 1, 3, 450
5, 1, 2, 450
4, 1, 2, 440
4, 1, 0, 440
5, 1, 0, 430
5, 1, 3, 430
5, 0, 3, 420
5, 0, 2, 420
4, 0, 2, 410
4, 0, 0, 410
5, 0, 0, 400
5, 0, 1, 400
5, 1, 1, 390
5, 2, 1, 380
5, 3, 1, 370
5, 3, 1, 270
5, 4, 1, 260
5, 4, 2, 260
4, 4, 2, 250
3, 4, 2, 240
2, 4, 2, 230
1, 4, 2, 220
0, 4, 2, 210
0, 4, 3, 210
0, 3, 3, 200
0, 2, 3, 190
0, 1, 3, 180
0, 0, 3, 170
