199
3, 2, 2, 0
2, 2, 2, -10
2, 2, 0, -10
3, 2, 0, -20
4, 2, 0, -30
5, 2, 0, -40
5, 2, 2, -40
4, 2, 2, -50
4, 2, 3, -50
4, 1, 3, 940
4, 1, 2, 940
3, 1, 2, 1930
3, 1, 1, 1930
3, 2, 1, 1920
3, 3, 1, 2910
3, 3, 0, 2910
4, 3, 0, 2900
5, 3, 0, 2890
6, 3, 0, 3880
7, 3, 0, 3870
8, 3, 0, 3860
9, 3, 0, 3850
9, 3, 3, 3850
9, 2, 3, 3840
9, 2, 2, 3840
8, 2, 2, 3830
7, 2, 2, 3820
6, 2, 2, 3810
6, 2, 3, 3810
6, 1, 3, 3800
6, 1, 0, 3800
7, 1, 0, 3790
8, 1, 0, 3780
9, 1, 0, 3770
9, 1, 3, 3770
9, 0, 3, 3760
9, 0, 2, 3760
8, 0, 2, 3750
8, 0, 1, 3750
8, 1, 1, 3740
8, 2, 1, 3730
8, 3, 1, 3720
8, 4, 1, 3710
8, 4, 2, 3710
7, 4, 2, 3700
6, 4, 2, 3690
5, 4, 2, 3680
4, 4, 2, 3670
4, 4, 0, 3670
5, 4, 0, 3660
6, 4, 0, 3650
6, 4, 1, 3650
6, 5, 1, 3640
6, 5, 0, 3640
7, 5, 0, 3630
8, 5, 0, 3620
9, 5, 0, 3610
9, 5, 3, 3610
9, 4, 3, 4600
9, 4, 1, 4600
9, 5, 1, 4590
9, 6, 1, 5580
9, 6, 2, 5580
8, 6, 2, 5570
8, 6, 0, 5570
9, 6, 0, 5560
9, 6, 1, 5560
9, 7, 1, 5550
9, 7, 2, 5550
8, 7, 2, 6540
8, 7, 0, 6540
9, 7, 0, 6530
9, 7, 1, 6530
9, 8, 1, 6520
9, 8, 3, 6520
9, 7, 3, 6510
9, 7, 2, 6510
8, 7, 2, 6500
8, 7, 3, 6500
8, 6, 3, 6490
8, 6, 2, 6490
8, 6, 2, 6390
7, 6, 2, 6380
6, 6, 2, 6370
5, 6, 2, 6360
5, 6, 0, 6360
6, 6, 0, 6350
6, 6, 1, 6350
6, 7, 1, 6340
6, 7, 2, 6340
5, 7, 2, 6330
4, 7, 2, 6320
3, 7, 2, 6310
2, 7, 2, 6300
2, 7, 0, 6300
3, 7, 0, 6290
3, 7, 3, 6290
3, 6, 3, 6280
3, 6, 0, 6280
4, 6, 0, 6270
4, 6, 3, 6270
4, 5, 3, 6260
4, 5, 1, 6260
4, 6, 1, 6250
4, 7, 1, 6240
4, 8, 1, 6230
4, 8, 2, 6230
3, 8, 2, 6220
2, 8, 2, 6210
1, 8, 2, 6200
0, 8, 2, 6190
0, 8, 3, 6190
0, 7, 3, 6180
0, 7, 0, 6180
1, 7, 0, 6170
1, 7, 3, 6170
1, 6, 3, 6160
1, 6, 2, 6160
0, 6, 2, 6150
0, 6, 1, 6150
0, 7, 1, 6140
0, 8, 1, 6130
0, 9, 1, 6120
0, 9, 0, 6120
1, 9, 0, 6110
2, 9, 0, 6100
3, 9, 0, 6090
4, 9, 0, 6080
5, 9, 0, 6070
6, 9, 0, 6060
7, 9, 0, 6050
7, 9, 2, 6050
6, 9, 2, 6040
6, 9, 3, 6040
6, 8, 3, 7030
6, 8, 2, 7030
5, 8, 2, 7020
5, 8, 0, 7020
6, 8, 0, 7010
6, 8, 3, 7010
6, 7, 3, 7000
6, 7, 0, 7000
7, 7, 0, 6990
7, 7, 3, 6990
7, 6, 3, 6980
7, 5, 3, 6970
7, 4, 3, 6960
7, 3, 3, 6950
7, 2, 3, 6940
7, 1, 3, 6930
7, 1, 3, 6830
7, 0, 3, 6820
7, 0, 2, 6820
6, 0, 2, 6810
5, 0, 2, 6800
5, 0, 2, 6700
4, 0, 2, 6690
3, 0, 2, 6680
2, 0, 2, 6670
2, 0, 2, 6570
1, 0, 2, 7560
0, 0, 2, 7550
0, 0, 0, 7550
1, 0, 0, 7540
1, 0, 1, 7540
1, 1, 1, 7530
1, 1, 2, 7530
1, 1, 2, 7430
0, 1, 2, 7420
0, 1, 1, 7420
0, 2, 1, 7410
0, 2, 0, 7410
1, 2, 0, 7400
1, 2, 1, 7400
1, 3, 1, 7390
1, 3, 2, 7390
0, 3, 2, 7380
0, 3, 0, 7380
1, 3, 0, 7370
1, 3, 3, 7370
1, 2, 3, 7360
1, 2, 0, 7360
2, 2, 0, 7350
2, 2, 3, 7350
2, 2, 3, 7250
2, 1, 3, 7240
2, 1, 0, 7240
3, 1, 0, 7230
4, 1, 0, 7220
4, 1, 0, 7120
5, 1, 0, 7110
5, 1, 2, 7110
4, 1, 2, 7100
3, 1, 2, 7090
2, 1, 2, 7080
1, 1, 2, 7070
0, 1, 2, 7060
0, 1, 3, 7060
0, 0, 3, 7050
